Model,Accuracy,Precision,Recall,F1 Score
Multinomial Naive Bayes,0.95234375,0.9502332814930016,0.9546875,0.9524551831644583
Logistic Regression,0.94921875,0.9550490661601773,0.9428125,0.9488913351155842
Linear SVM,0.94734375,0.9534368070953437,0.940625,0.9469875727544439
Random Forest,0.92375,0.9045346062052506,0.9475,0.9255189255189256
